"X1","X2","bigram","label"
"grocery","store","grocery store","business"
"store","sales","store sales","business"
"sales","december","sales december","business"
"december","retail","december retail","business"
"retail","sales","retail sales","business"
"sales","rose","sales rose","business"
"rose","excluding","rose excluding","business"
"excluding","car","excluding car","business"
"car","sector","car sector","business"
"sector","sales","sector sales","business"
"sales","rose","sales rose","business"
"rose","parul","rose parul","business"
"parul","jain","parul jain","business"
"jain","deputy","jain deputy","business"
"deputy","chief","deputy chief","business"
"chief","economist","chief economist","business"
"economist","nomura","economist nomura","business"
"nomura","securities","nomura securities","business"
"securities","international","securities international","business"
"international","consumer","international consumer","business"
"consumer","spending","consumer spending","business"
"spending","continue","spending continue","business"
"continue","rise","continue rise","business"
"rise","slower","rise slower","business"
"slower","rate","slower rate","business"
"rate","growth","rate growth","business"
"growth","consumers","growth consumers","business"
"consumers","continue","consumers continue","business"
"continue","retain","continue retain","business"
"retain","strength","retain strength","business"
"strength","quarter","strength quarter","business"
"quarter","van","quarter van","business"
"van","rourke","van rourke","business"
"rourke","bond","rourke bond","business"
"bond","strategist","bond strategist","business"
"strategist","popular","strategist popular","business"
"popular","securities","popular securities","business"
"securities","agreed","securities agreed","business"
"agreed","retail","agreed retail","business"
"retail","sales","retail sales","business"
"sales","figures","sales figures","business"
"figures","slightly","figures slightly","business"
"slightly","stronger","slightly stronger","business"
"stronger","expected","stronger expected","business"
"expected","lufthansa","expected lufthansa","business"
"lufthansa","sue","lufthansa sue","business"
"sue","bush","sue bush","business"
"bush","visit","bush visit","business"
"visit","german","visit german","business"
"german","airline","german airline","business"
"airline","lufthansa","airline lufthansa","business"
"lufthansa","sue","lufthansa sue","business"
"sue","federal","sue federal","business"
"federal","agencies","federal agencies","business"
"agencies","damages","agencies damages","business"
"damages","arrival","damages arrival","business"
"arrival","president","arrival president","business"
"president","george","president george","business"
"george","bush","george bush","business"
"bush","disrupted","bush disrupted","business"
"disrupted","flights","disrupted flights","business"
"flights","lufthansa","flights lufthansa","business"
"lufthansa","lose","lufthansa lose","business"
"lose","millions","lose millions","business"
"millions","euros","millions euros","business"
"euros","result","euros result","business"
"result","air","result air","business"
"air","force","air force","business"
"force","landing","force landing","business"
"landing","frankfurt","landing frankfurt","business"
"frankfurt","airport","frankfurt airport","business"
"airport","flights","airport flights","business"
"flights","affected","flights affected","business"
"affected","hour","affected hour","business"
"hour","wednesday","hour wednesday","business"
"wednesday","morning","wednesday morning","business"
"morning","double","morning double","business"
"double","time","double time","business"
"time","expected","time expected","business"
"expected","leading","expected leading","business"
"leading","cancellations","leading cancellations","business"
"cancellations","delays","cancellations delays","business"
"delays","lufthansa","delays lufthansa","business"
"lufthansa","accounts","lufthansa accounts","business"
"accounts","planes","accounts planes","business"
"planes","frankfurts","planes frankfurts","business"
"frankfurts","airport","frankfurts airport","business"
"airport","research","airport research","business"
"research","possibilities","research possibilities","business"
"possibilities","michael","possibilities michael","business"
"michael","lamberty","michael lamberty","business"
"lamberty","lufthansa","lamberty lufthansa","business"
"lufthansa","spokesman","lufthansa spokesman","business"
"spokesman","told","spokesman told","business"
"told","bbc","told bbc","business"
"bbc","checking","bbc checking","business"
"checking","action","checking action","business"
"action","courts","action courts","business"
"courts","lamberty","courts lamberty","business"
"lamberty","explained","lamberty explained","business"
"explained","company","explained company","business"
"company","plan","company plan","business"
"plan","pursue","plan pursue","business"
"pursue","germanys","pursue germanys","business"
"germanys","air","germanys air","business"
"air","traffic","air traffic","business"
"traffic","controllers","traffic controllers","business"
"controllers","organisation","controllers organisation","business"
"organisation","airport","organisation airport","business"
"airport","authority","airport authority","business"
"authority","sue","authority sue","business"
"sue","german","sue german","business"
"german","federal","german federal","business"
"federal","agencies","federal agencies","business"
"agencies","company","agencies company","business"
"company","cancel","company cancel","business"
"cancel","short","cancel short","business"
"short","mediumdistance","short mediumdistance","business"
"mediumdistance","flights","mediumdistance flights","business"
"flights","affecting","flights affecting","business"
"affecting","passengers","affecting passengers","business"
"passengers","longhaul","passengers longhaul","business"
"longhaul","travellers","longhaul travellers","business"
"travellers","disrupted","travellers disrupted","business"
"disrupted","central","disrupted central","business"
"central","half","central half","business"
"half","hour","half hour","business"
"hour","arrival","hour arrival","business"
"arrival","president","arrival president","business"
"president","bush","president bush","business"
"bush","german","bush german","business"
"german","leg","german leg","business"
"leg","european","leg european","business"
"european","tour","european tour","business"
"tour","hour","tour hour","business"
"hour","lufthansa","hour lufthansa","business"
"lufthansa","time","lufthansa time","business"
"time","restrictions","time restrictions","business"
"restrictions","planes","restrictions planes","business"
"planes","taxiing","planes taxiing","business"
"taxiing","taking","taxiing taking","business"
"taking","landing","taking landing","business"
"landing","frankfurts","landing frankfurts","business"
"frankfurts","rheinmain","frankfurts rheinmain","business"
"rheinmain","airport","rheinmain airport","business"
"airport","extra","airport extra","business"
"extra","time","extra time","business"
"time","president","time president","business"
"president","bush","president bush","business"
"bush","entourage","bush entourage","business"
"entourage","meant","entourage meant","business"
"meant","knockon","meant knockon","business"
"knockon","effect","knockon effect","business"
"effect","led","effect led","business"
"led","significant","led significant","business"
"significant","delays","significant delays","business"
"delays","lamberty","delays lamberty","business"
"lamberty","outgoing","lamberty outgoing","business"
"outgoing","flights","outgoing flights","business"
"flights","income","flights income","business"
"income","flights","income flights","business"
"flights","delayed","flights delayed","business"
"delayed","average","delayed average","business"
"average","hour","average hour","business"
"hour","president","hour president","business"
"president","bushs","president bushs","business"
"bushs","arrival","bushs arrival","business"
"arrival","affecting","arrival affecting","business"
"affecting","passengers","affecting passengers","business"
"passengers","lamberty","passengers lamberty","business"
"lamberty","lufthansa","lamberty lufthansa","business"
"lufthansa","legal","lufthansa legal","business"
"legal","action","legal action","business"
"action","eu","action eu","business"
"eu","aiming","eu aiming","business"
"aiming","fuel","aiming fuel","business"
"fuel","development","fuel development","business"
"development","aid","development aid","business"
"aid","european","aid european","business"
"european","union","european union","business"
"union","finance","union finance","business"
"finance","ministers","finance ministers","business"
"ministers","meet","ministers meet","business"
"meet","thursday","meet thursday","business"
"thursday","discuss","thursday discuss","business"
"discuss","proposals","discuss proposals","business"
"proposals","including","proposals including","business"
"including","tax","including tax","business"
"tax","jet","tax jet","business"
"jet","fuel","jet fuel","business"
"fuel","boost","fuel boost","business"
"boost","development","boost development","business"
"development","aid","development aid","business"
"aid","poorer","aid poorer","business"
"poorer","nations","poorer nations","business"
"nations","policy","nations policy","business"
"policy","makers","policy makers","business"
"makers","report","makers report","business"
"report","development","report development","business"
"development","money","development money","business"
"money","raised","money raised","business"
"raised","eu","raised eu","business"
"eu","worlds","eu worlds","business"
"worlds","richest","worlds richest","business"
"richest","countries","richest countries","business"
"countries","increase","countries increase","business"
"increase","amount","increase amount","business"
"amount","aid","amount aid","business"
"aid","annual","aid annual","business"
"annual","gross","annual gross","business"
"gross","national","gross national","business"
"national","income","national income","business"
"income","airlines","income airlines","business"
"airlines","reacted","airlines reacted","business"
"reacted","strongly","reacted strongly","business"
"strongly","proposed","strongly proposed","business"
"proposed","fuel","proposed fuel","business"
"fuel","levy","fuel levy","business"
"levy","profits","levy profits","business"
"profits","pressure","profits pressure","business"
"pressure","airline","pressure airline","business"
"airline","industry","airline industry","business"
"industry","lowcost","industry lowcost","business"
"lowcost","firms","lowcost firms","business"
"firms","driving","firms driving","business"
"driving","prices","driving prices","business"
"prices","demand","prices demand","business"
"demand","dipping","demand dipping","business"
"dipping","september","dipping september","business"
"september","terrorist","september terrorist","business"
"terrorist","attacks","terrorist attacks","business"
"attacks","outbreak","attacks outbreak","business"
"outbreak","killer","outbreak killer","business"
"killer","sars","killer sars","business"
"sars","virus","sars virus","business"
"virus","picked","virus picked","business"
"picked","european","picked european","business"
"european","companies","european companies","business"
"companies","teetering","companies teetering","business"
"teetering","brink","teetering brink","business"
"brink","bankruptcy","brink bankruptcy","business"
"bankruptcy","fuel","bankruptcy fuel","business"
"fuel","airlines","fuel airlines","business"
"airlines","enjoys","airlines enjoys","business"
"enjoys","low","enjoys low","business"
"low","tax","low tax","business"
"tax","rate","tax rate","business"
"rate","untaxed","rate untaxed","business"
"untaxed","eu","untaxed eu","business"
"eu","applaud","eu applaud","business"
"applaud","humanitarian","applaud humanitarian","business"
"humanitarian","initiatives","humanitarian initiatives","business"
"initiatives","target","initiatives target","business"
"target","airlines","target airlines","business"
"airlines","ulrich","airlines ulrich","business"
"ulrich","schultestrathaus","ulrich schultestrathaus","business"
"schultestrathaus","secretary","schultestrathaus secretary","business"
"secretary","association","secretary association","business"
"association","european","association european","business"
"european","airlines","european airlines","business"
"airlines","industry","airlines industry","business"
"industry","midst","industry midst","business"
"midst","fundamental","midst fundamental","business"
"fundamental","crisisonly","fundamental crisisonly","business"
"crisisonly","confronted","crisisonly confronted","business"
"confronted","measure","confronted measure","business"
"measure","designed","measure designed","business"
"designed","increase","designed increase","business"
"increase","costs","increase costs","business"
"costs","continued","costs continued","business"
"continued","eu","continued eu","business"
"eu","sought","eu sought","business"
"sought","allay","sought allay","business"
"allay","airlines","allay airlines","business"
"airlines","fears","airlines fears","business"
"fears","stressing","fears stressing","business"
"stressing","thursdays","stressing thursdays","business"
"thursdays","meeting","thursdays meeting","business"
"meeting","step","meeting step","business"
"step","proposals","step proposals","business"
"proposals","consideration","proposals consideration","business"
"consideration","added","consideration added","business"
"added","plan","added plan","business"
"plan","levy","plan levy","business"
"levy","taxes","levy taxes","business"
"taxes","jet","taxes jet","business"
"jet","fuel","jet fuel","business"
"fuel","hinder","fuel hinder","business"
"hinder","competitiveness","hinder competitiveness","business"
"competitiveness","airlines","competitiveness airlines","business"
"airlines","solely","airlines solely","business"
"solely","funding","solely funding","business"
"funding","development","funding development","business"
"development","tax","development tax","business"
"tax","implemented","tax implemented","business"
"implemented","consultation","implemented consultation","business"
"consultation","airlines","consultation airlines","business"
"airlines","eu","airlines eu","business"
"eu","widespread","eu widespread","business"
"widespread","support","widespread support","business"
"support","plan","support plan","business"
"plan","tabled","plan tabled","business"
"tabled","france","tabled france","business"
"france","germany","france germany","business"
"germany","recent","germany recent","business"
"recent","meeting","recent meeting","business"
"meeting","worlds","meeting worlds","business"
"worlds","richest","worlds richest","business"
"richest","nations","richest nations","business"
"nations","eu","nations eu","business"
"eu","ministers","eu ministers","business"
"ministers","issue","ministers issue","business"
"issue","poverty","issue poverty","business"
"poverty","africa","poverty africa","business"
"africa","south","africa south","business"
"south","asia","south asia","business"
"asia","forced","asia forced","business"
"forced","top","forced top","business"
"top","politicial","top politicial","business"
"politicial","agenda","politicial agenda","business"
"agenda","politicians","agenda politicians","business"
"politicians","campaigners","politicians campaigners","business"
"campaigners","calling","campaigners calling","business"
"calling","meeting","calling meeting","business"
"meeting","london","meeting london","business"
"london","finance","london finance","business"
"finance","ministers","finance ministers","business"
"ministers","plans","ministers plans","business"
"plans","write","plans write","business"
"write","debts","write debts","business"
"debts","worlds","debts worlds","business"
"worlds","poorest","worlds poorest","business"
"poorest","countries","poorest countries","business"
"countries","german","countries german","business"
"german","business","german business","business"
"business","confidence","business confidence","business"
"confidence","slides","confidence slides","business"
"slides","german","slides german","business"
"german","business","german business","business"
"business","confidence","business confidence","business"
"confidence","fell","confidence fell","business"
"fell","february","fell february","business"
"february","knocking","february knocking","business"
"knocking","hopes","knocking hopes","business"
"hopes","speedy","hopes speedy","business"
"speedy","recovery","speedy recovery","business"
"recovery","europes","recovery europes","business"
"europes","largest","europes largest","business"
"largest","economy","largest economy","business"
"economy","munichbased","economy munichbased","business"
"munichbased","research","munichbased research","business"
"research","institute","research institute","business"
"institute","ifo","institute ifo","business"
"ifo","confidence","ifo confidence","business"
"confidence","index","confidence index","business"
"index","fell","index fell","business"
"fell","february","fell february","business"
"february","january","february january","business"
"january","decline","january decline","business"
"decline","study","decline study","business"
"study","found","study found","business"
"found","outlook","found outlook","business"
"outlook","manufacturing","outlook manufacturing","business"
"manufacturing","retail","manufacturing retail","business"
"retail","sectors","retail sectors","business"
"sectors","worsened","sectors worsened","business"
"worsened","observers","worsened observers","business"
"observers","hoping","observers hoping","business"
"hoping","confident","hoping confident","business"
"confident","business","confident business","business"
"business","sector","business sector","business"
"sector","signal","sector signal","business"
"signal","economic","signal economic","business"
"economic","activity","economic activity","business"
"activity","picking","activity picking","business"
"picking","surprised","picking surprised","business"
"surprised","ifo","surprised ifo","business"
"ifo","index","ifo index","business"
"index","knock","index knock","business"
"knock","dz","knock dz","business"
"dz","bank","dz bank","business"
"bank","economist","bank economist","business"
"economist","bernd","economist bernd","business"
"bernd","weidensteiner","bernd weidensteiner","business"
"weidensteiner","main","weidensteiner main","business"
"main","reason","main reason","business"
"reason","domestic","reason domestic","business"
"domestic","economy","domestic economy","business"
"economy","weak","economy weak","business"
"weak","retail","weak retail","business"
"retail","trade","retail trade","business"
"trade","economy","trade economy","business"
"economy","labour","economy labour","business"
"labour","minister","labour minister","business"
"minister","wolfgang","minister wolfgang","business"
"wolfgang","clement","wolfgang clement","business"
"clement","called","clement called","business"
"called","dip","called dip","business"
"dip","februarys","dip februarys","business"
"februarys","ifo","februarys ifo","business"
"ifo","confidence","ifo confidence","business"
"confidence","figure","confidence figure","business"
"figure","mild","figure mild","business"
"mild","decline","mild decline","business"
"decline","retreat","decline retreat","business"
"retreat","index","retreat index","business"
"index","remained","index remained","business"
"remained","level","remained level","business"
"level","expected","level expected","business"
"expected","modest","expected modest","business"
"modest","economic","modest economic","business"
"economic","upswing","economic upswing","business"
"upswing","continue","upswing continue","business"
"continue","germanys","continue germanys","business"
"germanys","economy","germanys economy","business"
"economy","grew","economy grew","business"
"grew","shrinking","grew shrinking","business"
"shrinking","economy","shrinking economy","business"
"economy","contracted","economy contracted","business"
"contracted","due","contracted due","business"
"due","reluctance","due reluctance","business"
"reluctance","consumers","reluctance consumers","business"
"consumers","spend","consumers spend","business"
"spend","indications","spend indications","business"
"indications","growth","indications growth","business"
"growth","proving","growth proving","business"
"proving","elusive","proving elusive","business"
"elusive","ifo","elusive ifo","business"
"ifo","president","ifo president","business"
"president","hanswerner","president hanswerner","business"
"hanswerner","sinn","hanswerner sinn","business"
"sinn","improvement","sinn improvement","business"
"improvement","german","improvement german","business"
"german","domestic","german domestic","business"
"domestic","demand","domestic demand","business"
"demand","sluggish","demand sluggish","business"
"sluggish","exports","sluggish exports","business"
"exports","half","exports half","business"
"half","demand","half demand","business"
"demand","exports","demand exports","business"
"exports","hit","exports hit","business"
"hit","euro","hit euro","business"
"euro","hit","euro hit","business"
"hit","record","hit record","business"
"record","levels","record levels","business"
"levels","german","levels german","business"
"german","products","german products","business"
"products","competitive","products competitive","business"
"competitive","overseas","competitive overseas","business"
"overseas","top","overseas top","business"
"top","unemployment","top unemployment","business"
"unemployment","rate","unemployment rate","business"
"rate","stuck","rate stuck","business"
"stuck","close","stuck close","business"
"close","manufacturing","close manufacturing","business"
"manufacturing","firms","manufacturing firms","business"
"firms","including","firms including","business"
"including","daimlerchrysler","including daimlerchrysler","business"
"daimlerchrysler","siemens","daimlerchrysler siemens","business"
"siemens","volkswagen","siemens volkswagen","business"
"volkswagen","negotiating","volkswagen negotiating","business"
"negotiating","unions","negotiating unions","business"
"unions","cost","unions cost","business"
"cost","cutting","cost cutting","business"
"cutting","measures","cutting measures","business"
"measures","analysts","measures analysts","business"
"analysts","ifo","analysts ifo","business"
"ifo","figures","ifo figures","business"
"figures","germanys","figures germanys","business"
"germanys","continuing","germanys continuing","business"
"continuing","delay","continuing delay","business"
"delay","rate","delay rate","business"
"rate","rise","rate rise","business"
"rise","european","rise european","business"
"european","central","european central","business"
"central","bank","central bank","business"
"bank","eurozone","bank eurozone","business"
"eurozone","rates","eurozone rates","business"
"rates","comments","rates comments","business"
"comments","senior","comments senior","business"
"senior","officials","senior officials","business"
"officials","recently","officials recently","business"
"recently","focused","recently focused","business"
"focused","threat","focused threat","business"
"threat","inflation","threat inflation","business"
"inflation","prompting","inflation prompting","business"
"prompting","fears","prompting fears","business"
"fears","rates","fears rates","business"
"rates","rise","rates rise","business"
"rise","fao","rise fao","business"
"fao","warns","fao warns","business"
"warns","impact","warns impact","business"
"impact","subsidies","impact subsidies","business"
"subsidies","billions","subsidies billions","business"
"billions","farmers","billions farmers","business"
"farmers","livelihoods","farmers livelihoods","business"
"livelihoods","risk","livelihoods risk","business"
"risk","falling","risk falling","business"
"falling","commodity","falling commodity","business"
"commodity","prices","commodity prices","business"
"prices","protectionism","prices protectionism","business"
"protectionism","uns","protectionism uns","business"
"uns","food","uns food","business"
"food","agriculture","food agriculture","business"
"agriculture","organisation","agriculture organisation","business"
"organisation","warned","organisation warned","business"
"warned","trade","warned trade","business"
"trade","barriers","trade barriers","business"
"barriers","subsidies","barriers subsidies","business"
"subsidies","severely","subsidies severely","business"
"severely","distort","severely distort","business"
"distort","market","distort market","business"
"market","fao","market fao","business"
"fao","report","fao report","business"
"report","agricultural","report agricultural","business"
"agricultural","commodity","agricultural commodity","business"
"commodity","markets","commodity markets","business"
"markets","result","markets result","business"
"result","billion","result billion","business"
"billion","people","billion people","business"
"people","developing","people developing","business"
"developing","world","developing world","business"
"world","rely","world rely","business"
"rely","farming","rely farming","business"
"farming","food","farming food","business"
"food","insecurity","food insecurity","business"
"insecurity","endangered","insecurity endangered","business"
"endangered","live","endangered live","business"
"live","leastdeveloped","live leastdeveloped","business"
"leastdeveloped","countries","leastdeveloped countries","business"
"countries","fao","countries fao","business"
"fao","report","fao report","business"
"report","support","report support","business"
"support","farmers","support farmers","business"
"farmers","industrialised","farmers industrialised","business"
"industrialised","nations","industrialised nations","business"
"nations","equivalent","nations equivalent","business"
"equivalent","times","equivalent times","business"
"times","amount","times amount","business"
"amount","provided","amount provided","business"
"provided","aid","provided aid","business"
"aid","agricultural","aid agricultural","business"
"agricultural","development","agricultural development","business"
"development","poor","development poor","business"
"poor","countries","poor countries","business"
"countries","fao","countries fao","business"
"fao","urged","fao urged","business"
"urged","world","urged world","business"
"world","trade","world trade","business"
"trade","organisation","trade organisation","business"
"organisation","swiftly","organisation swiftly","business"
"swiftly","conclude","swiftly conclude","business"
"conclude","negotiations","conclude negotiations","business"
"negotiations","liberalise","negotiations liberalise","business"
"liberalise","trade","liberalise trade","business"
"trade","easing","trade easing","business"
"easing","developing","easing developing","business"
"developing","countries","developing countries","business"
"countries","access","countries access","business"
"access","world","access world","business"
"world","market","world market","business"
"market","criticised","market criticised","business"
"criticised","tariffs","criticised tariffs","business"
"tariffs","imposed","tariffs imposed","business"
"imposed","developed","imposed developed","business"
"developed","developing","developed developing","business"
"developing","nations","developing nations","business"
"nations","recommends","nations recommends","business"
"recommends","developing","recommends developing","business"
"developing","countries","developing countries","business"
"countries","reduce","countries reduce","business"
"reduce","tariffs","reduce tariffs","business"
"tariffs","encourage","tariffs encourage","business"
"encourage","trade","encourage trade","business"
"trade","advantage","trade advantage","business"
"advantage","market","advantage market","business"
"market","liberalisation","market liberalisation","business"
"liberalisation","organisation","liberalisation organisation","business"
"organisation","subsidies","organisation subsidies","business"
"subsidies","tariffs","subsidies tariffs","business"
"tariffs","strong","tariffs strong","business"
"strong","impact","strong impact","business"
"impact","trade","impact trade","business"
"trade","products","trade products","business"
"products","cotton","products cotton","business"
"cotton","rice","cotton rice","business"
"rice","global","rice global","business"
"global","exports","global exports","business"
"exports","products","exports products","business"
"products","hands","products hands","business"
"hands","european","hands european","business"
"european","union","european union","business"
"union","subsidies","union subsidies","business"
"subsidies","sell","subsidies sell","business"
"sell","low","sell low","business"
"low","prices","low prices","business"
"prices","wealthy","prices wealthy","business"
"wealthy","nations","wealthy nations","business"
"nations","spend","nations spend","business"
"spend","euros","spend euros","business"
"euros","agricultural","euros agricultural","business"
"agricultural","subsidies","agricultural subsidies","business"
"subsidies","market","subsidies market","business"
"market","situation","market situation","business"
"situation","divided","situation divided","business"
"divided","developing","divided developing","business"
"developing","nations","developing nations","business"
"nations","fao","nations fao","business"
"fao","diverse","fao diverse","business"
"diverse","range","diverse range","business"
"range","agricultural","range agricultural","business"
"agricultural","products","agricultural products","business"
"products","agriculture","products agriculture","business"
"agriculture","lies","agriculture lies","business"
"lies","hands","lies hands","business"
"hands","smallscale","hands smallscale","business"
"smallscale","producers","smallscale producers","business"
"producers","developing","producers developing","business"
"developing","countries","developing countries","business"
"countries","export","countries export","business"
"export","incomes","export incomes","business"
"incomes","sale","incomes sale","business"
"sale","product","sale product","business"
"product","countries","product countries","business"
"countries","situated","countries situated","business"
"situated","subsaharan","situated subsaharan","business"
"subsaharan","africa","subsaharan africa","business"
"africa","latin","africa latin","business"
"latin","america","latin america","business"
"america","caribbean","america caribbean","business"
"caribbean","india","caribbean india","business"
"india","seeks","india seeks","business"
"seeks","boost","seeks boost","business"
"boost","construction","boost construction","business"
"construction","india","construction india","business"
"india","cleared","india cleared","business"
"cleared","proposal","cleared proposal","business"
"proposal","allowing","proposal allowing","business"
"allowing","foreign","allowing foreign","business"
"foreign","direct","foreign direct","business"
"direct","investment","direct investment","business"
"investment","construction","investment construction","business"
"construction","sector","construction sector","business"
"sector","kamal","sector kamal","business"
"kamal","nath","kamal nath","business"
"nath","commerce","nath commerce","business"
"commerce","industry","commerce industry","business"
"industry","minister","industry minister","business"
"minister","announced","minister announced","business"
"announced","decision","announced decision","business"
"decision","delhi","decision delhi","business"
"delhi","thursday","delhi thursday","business"
"thursday","cabinet","thursday cabinet","business"
"cabinet","meeting","cabinet meeting","business"
"meeting","analysts","meeting analysts","business"
"analysts","improving","analysts improving","business"
"improving","indias","improving indias","business"
"indias","infrastructure","indias infrastructure","business"
"infrastructure","boost","infrastructure boost","business"
"boost","foreign","boost foreign","business"
"foreign","investment","foreign investment","business"
"investment","sectors","investment sectors","business"
"sectors","indian","sectors indian","business"
"indian","governments","indian governments","business"
"governments","decision","governments decision","business"
"decision","spread","decision spread","business"
"spread","cheer","spread cheer","business"
"cheer","construction","cheer construction","business"
"construction","sector","construction sector","business"
"sector","indian","sector indian","business"
"indian","firms","indian firms","business"
"firms","spokesman","firms spokesman","business"
"spokesman","dlf","spokesman dlf","business"
"dlf","builders","dlf builders","business"
"builders","dr","builders dr","business"
"dr","vancheshwar","dr vancheshwar","business"
"vancheshwar","told","vancheshwar told","business"
"told","bbc","told bbc","business"
"bbc","offerings","bbc offerings","business"
"offerings","consumers","offerings consumers","business"
"consumers","builders","consumers builders","business"
"builders","firm","builders firm","business"
"firm","benefit","firm benefit","business"
"benefit","world","benefit world","business"
"world","class","world class","business"
"class","strategic","class strategic","business"
"strategic","partnerships","strategic partnerships","business"
"partnerships","design","partnerships design","business"
"design","expertise","design expertise","business"
"expertise","technology","expertise technology","business"
"technology","consumers","technology consumers","business"
"consumers","choice","consumers choice","business"
"choice","government","choice government","business"
"government","proposal","government proposal","business"
"proposal","foreign","proposal foreign","business"
"foreign","investment","foreign investment","business"
"investment","allowed","investment allowed","business"
"allowed","automatic","allowed automatic","business"
"automatic","route","automatic route","business"
"route","construction","route construction","business"
"construction","sector","construction sector","business"
"sector","projects","sector projects","business"
"projects","including","projects including","business"
"including","housing","including housing","business"
"housing","hotels","housing hotels","business"
"hotels","resorts","hotels resorts","business"
"resorts","hospitals","resorts hospitals","business"
"hospitals","educational","hospitals educational","business"
"educational","establishments","educational establishments","business"
"establishments","automatic","establishments automatic","business"
"automatic","route","automatic route","business"
"route","means","route means","business"
"means","construction","means construction","business"
"construction","companies","construction companies","business"
"companies","set","companies set","business"
"set","official","set official","business"
"official","approvals","official approvals","business"
"approvals","gain","approvals gain","business"
"gain","clearance","gain clearance","business"
"clearance","foreign","clearance foreign","business"
"foreign","investment","foreign investment","business"
"investment","promotion","investment promotion","business"
"promotion","board","promotion board","business"
"board","bureaucratic","board bureaucratic","business"
"bureaucratic","government","bureaucratic government","business"
"government","hopes","government hopes","business"
"hopes","policy","hopes policy","business"
"policy","create","policy create","business"
"create","employment","create employment","business"
"employment","construction","employment construction","business"
"construction","workers","construction workers","business"
"workers","benefit","workers benefit","business"
"benefit","steel","benefit steel","business"
"steel","brickmaking","steel brickmaking","business"
"brickmaking","industries","brickmaking industries","business"
"industries","nath","industries nath","business"
"nath","announced","nath announced","business"
"announced","plans","announced plans","business"
"plans","foreign","plans foreign","business"
"foreign","investors","foreign investors","business"
"investors","develop","investors develop","business"
"develop","land","develop land","business"
"land","acquired","land acquired","business"
"acquired","foreign","acquired foreign","business"
"foreign","investors","foreign investors","business"
"investors","enter","investors enter","business"
"enter","construction","enter construction","business"
"construction","development","construction development","business"
"development","build","development build","business"
"build","resorts","build resorts","business"
"resorts","townships","resorts townships","business"
"townships","commercial","townships commercial","business"
"commercial","premises","commercial premises","business"
"premises","construct","premises construct","business"
"construct","square","construct square","business"
"square","meters","square meters","business"
"meters","square","meters square","business"
"square","feet","square feet","business"
"feet","specific","feet specific","business"
"specific","timeframe","specific timeframe","business"
"timeframe","nath","timeframe nath","business"
"nath","timeframe","nath timeframe","business"
"timeframe","previously","timeframe previously","business"
"previously","foreign","previously foreign","business"
"foreign","investors","foreign investors","business"
"investors","develop","investors develop","business"
"develop","larger","develop larger","business"
"larger","discouraging","larger discouraging","business"
"discouraging","entering","discouraging entering","business"
"entering","indian","entering indian","business"
"indian","market","indian market","business"
"market","measure","market measure","business"
"measure","designed","measure designed","business"
"designed","discourage","designed discourage","business"
"discourage","foreign","discourage foreign","business"
"foreign","investors","foreign investors","business"
"investors","buying","investors buying","business"
"buying","selling","buying selling","business"
"selling","land","selling land","business"
"land","speculatively","land speculatively","business"
"speculatively","developing","speculatively developing","business"
"developing","anshuman","developing anshuman","business"
"anshuman","magazine","anshuman magazine","business"
"magazine","managing","magazine managing","business"
"managing","director","managing director","business"
"director","cb","director cb","business"
"cb","richard","cb richard","business"
"richard","ellis","richard ellis","business"
"ellis","international","ellis international","business"
"international","real","international real","business"
"real","estate","real estate","business"
"estate","company","estate company","business"
"company","told","company told","business"
"told","bbc","told bbc","business"
"bbc","positive","bbc positive","business"
"positive","step","positive step","business"
"step","chittabrata","step chittabrata","business"
"chittabrata","majumdar","chittabrata majumdar","business"
"majumdar","secretary","majumdar secretary","business"
"secretary","centre","secretary centre","business"
"centre","indian","centre indian","business"
"indian","trade","indian trade","business"
"trade","unions","trade unions","business"
"unions","citu","unions citu","business"
"citu","allowing","citu allowing","business"
"allowing","fdi","allowing fdi","business"
"fdi","country","fdi country","business"
"country","compromising","country compromising","business"
"compromising","indias","compromising indias","business"
"indias","reliance","indias reliance","business"
"reliance","country","reliance country","business"
"country","develop","country develop","business"
"develop","basis","develop basis","business"
"basis","foreign","basis foreign","business"
"foreign","investment","foreign investment","business"
"investment","majumdar","investment majumdar","business"
"majumdar","assessment","majumdar assessment","business"
"assessment","foreign","assessment foreign","business"
"foreign","investment","foreign investment","business"
"investment","beneficial","investment beneficial","business"
"beneficial","country","beneficial country","business"
"country","terms","country terms","business"
"terms","employment","terms employment","business"
"employment","money","employment money","business"
"money","generated","money generated","business"
"generated","international","generated international","business"
"international","companies","international companies","business"
"companies","filling","companies filling","business"
"filling","deep","filling deep","business"
"deep","pockets","deep pockets","business"
"pockets","boeing","pockets boeing","business"
"boeing","unveils","boeing unveils","business"
"unveils","aircraft","unveils aircraft","business"
"aircraft","aircraft","aircraft aircraft","business"
"aircraft","firm","aircraft firm","business"
"firm","boeing","firm boeing","business"
"boeing","unveiled","boeing unveiled","business"
"unveiled","longdistance","unveiled longdistance","business"
"longdistance","plane","longdistance plane","business"
"plane","regain","plane regain","business"
"regain","position","regain position","business"
"position","industrys","position industrys","business"
"industrys","leading","industrys leading","business"
"leading","manufacturer","leading manufacturer","business"
"manufacturer","lr","manufacturer lr","business"
"lr","capable","lr capable","business"
"capable","flying","capable flying","business"
"flying","miles","flying miles","business"
"miles","nonstop","miles nonstop","business"
"nonstop","linking","nonstop linking","business"
